id,name,parent_id
976442031,Home & Kitchen,
1380510031,Home Storage & Organisation,976442031
1380511031,Bathroom Accessories & Organization,1380510031
8464301031,Bathroom Medicine Cabinets,1380511031
1350384031,Health & Personal Care,
20821454031,Amazon Pharmacy,1350384031
18049712031,Prescription Medication,20821454031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374501031,Digestion & Nausea,1374494031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060733031,Karela,11364705031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060757031,Shilajit,11364705031
976442031,Home & Kitchen,
1380510031,Home Storage & Organisation,976442031
1380511031,Bathroom Accessories & Organization,1380510031
8464301031,Bathroom Medicine Cabinets,1380511031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060758031,Ashwagandha,11364705031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374499031,Cough & Cold,1374494031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060758031,Ashwagandha,11364705031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
1355016031,Beauty,
1374407031,Skin Care,1355016031
1374414031,Face,1374407031
9530421031,Creams & Moisturisers,1374414031
9530422031,Face Creams,9530421031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364677031,Essential Fatty Acids & Oils,1374492031
11364691031,Omega Oils,11364677031
11364693031,Omega-3,11364691031
1350384031,Health & Personal Care,
26382244031,Medication & Treatments,1350384031
27347561031,Medication Aids,26382244031
27347564031,Pill Organisers,27347561031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
20821454031,Amazon Pharmacy,1350384031
18049712031,Prescription Medication,20821454031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060762031,Brahmi,11364705031
1350384031,Health & Personal Care,
26382244031,Medication & Treatments,1350384031
27347561031,Medication Aids,26382244031
27347564031,Pill Organisers,27347561031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060736031,Arjuna,11364705031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
11364765031,Triphala,11364705031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
11364764031,Gokshura,11364705031
1350384031,Health & Personal Care,
26382244031,Medication & Treatments,1350384031
27347561031,Medication Aids,26382244031
27347564031,Pill Organisers,27347561031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060739031,Punarnava,11364705031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
11364757031,Isabgol,11364705031
1350384031,Health & Personal Care,
26382244031,Medication & Treatments,1350384031
27347561031,Medication Aids,26382244031
27347564031,Pill Organisers,27347561031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364776031,Minerals,1374492031
11364778031,Calcium,11364776031
11364781031,Calcium-Vitamin D Combination,11364778031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374499031,Cough & Cold,1374494031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060758031,Ashwagandha,11364705031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374501031,Digestion & Nausea,1374494031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374501031,Digestion & Nausea,1374494031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374501031,Digestion & Nausea,1374494031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264020031,Ayurveda,1374496031
4264025031,Chyawanprash,4264020031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374499031,Cough & Cold,1374494031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1350384031,Health & Personal Care,
1374494031,Health Care,1350384031
1374496031,Alternative Medicine,1374494031
4264019031,Single Homeopathic Remedies,1374496031
1350384031,Health & Personal Care,
1374489031,Diet & Nutrition,1350384031
1374492031,"Vitamins, Minerals & Supplements",1374489031
11364705031,Herbal Supplements,1374492031
27060736031,Arjuna,11364705031
1350384031,Health & Personal Care,
